,0
1263,2
354,1
96,1
717,0
164,1
344,1
225,1
231,1
819,0
1013,2
665,0
1312,2
909,2
37,1
139,1
822,0
1270,2
565,0
659,0
468,0
599,0
796,0
10,1
134,1
1313,2
816,0
889,2
1130,2
1208,2
1145,2
152,1
379,1
711,0
1009,2
86,1
236,1
706,0
593,0
13,1
155,1
812,0
700,0
36,1
378,1
891,2
1231,2
806,0
784,0
158,1
213,1
224,1
899,2
510,0
265,1
280,1
709,0
1303,2
1070,2
290,1
1115,2
176,1
807,0
1096,2
560,0
286,1
349,1
1144,2
50,1
791,0
1184,2
726,0
904,2
455,0
1279,2
247,1
558,0
418,1
1171,2
411,1
431,1
193,1
776,0
538,0
160,1
730,0
274,1
976,2
1227,2
200,1
493,0
667,0
751,0
202,1
629,0
101,1
691,0
1075,2
114,1
741,0
446,0
798,0
82,1
432,1
409,1
780,0
389,1
1271,2
550,0
608,0
1073,2
1281,2
1216,2
1166,2
251,1
769,0
255,1
105,1
469,0
1157,2
245,1
852,0
421,1
1289,2
1200,2
268,1
662,0
89,1
1204,2
500,0
1113,2
329,1
220,1
380,1
1088,2
594,0
1020,2
922,2
648,0
283,1
529,0
19,1
967,2
1040,2
943,2
1301,2
447,0
1229,2
824,0
683,0
917,2
1121,2
1018,2
46,1
853,0
1035,2
708,0
371,1
1167,2
358,1
1296,2
51,1
39,1
162,1
1094,2
989,2
898,2
548,0
906,2
814,0
910,2
1001,2
264,1
556,0
673,0
1124,2
601,0
108,1
979,2
331,1
341,1
1014,2
773,0
577,0
428,1
872,0
753,0
135,1
734,0
1214,2
782,0
680,0
69,1
1201,2
864,0
14,1
79,1
951,2
267,1
1054,2
813,0
1190,2
977,2
199,1
1026,2
1212,2
47,1
793,0
1258,2
324,1
461,0
303,1
339,1
802,0
947,2
361,1
670,0
262,1
1170,2
1032,2
110,1
1278,2
553,0
651,0
74,1
725,0
334,1
195,1
1008,2
88,1
84,1
81,1
609,0
1185,2
353,1
758,0
1169,2
1298,2
595,0
867,0
20,1
163,1
348,1
55,1
475,0
1194,2
289,1
754,0
817,0
311,1
235,1
845,0
968,2
764,0
1239,2
1197,2
73,1
1084,2
1046,2
1178,2
465,0
309,1
900,2
808,0
112,1
98,1
1056,2
672,0
197,1
639,0
572,0
592,0
547,0
1065,2
218,1
1049,2
911,2
1287,2
1235,2
58,1
127,1
742,0
477,0
2,1
1262,2
299,1
246,1
811,0
406,1
1244,2
591,0
856,0
1006,2
1202,2
1027,2
426,1
602,0
721,0
394,1
851,0
978,2
1240,2
618,0
1037,2
65,1
1140,2
356,1
610,0
559,0
698,0
1093,2
511,0
21,1
41,1
43,1
938,2
1189,2
1041,2
837,0
400,1
1120,2
473,0
395,1
6,1
933,2
992,2
340,1
397,1
862,0
1064,2
1051,2
233,1
987,2
554,0
1273,2
1023,2
756,0
503,0
189,1
702,0
1004,2
208,1
858,0
723,0
1082,2
125,1
1314,2
1118,2
1237,2
451,0
190,1
658,0
728,0
4,1
1268,2
321,1
536,0
129,1
168,1
894,2
961,2
486,0
1143,2
391,1
1025,2
718,0
522,0
9,1
962,2
388,1
449,0
1138,2
927,2
178,1
487,0
716,0
972,2
842,0
983,2
238,1
1181,2
1036,2
180,1
294,1
875,0
533,0
181,1
583,0
795,0
362,1
843,0
1183,2
116,1
1069,2
1175,2
701,0
137,1
1187,2
205,1
308,1
768,0
201,1
1061,2
1236,2
1173,2
419,1
752,0
1109,2
273,1
958,2
214,1
1129,2
579,0
985,2
628,0
352,1
1192,2
873,0
483,0
210,1
56,1
1015,2
437,1
666,0
401,1
491,0
1168,2
456,0
747,0
931,2
1021,2
312,1
383,1
714,0
739,0
575,0
433,1
226,1
355,1
440,0
1161,2
212,1
532,0
902,2
901,2
343,1
1261,2
275,1
934,2
452,0
799,0
1042,2
138,1
534,0
85,1
888,2
647,0
166,1
1078,2
1291,2
1247,2
630,0
40,1
24,1
642,0
261,1
578,0
854,0
464,0
634,0
1186,2
435,1
83,1
569,0
506,0
1105,2
360,1
1127,2
535,0
879,0
207,1
159,1
402,1
48,1
206,1
1039,2
590,0
128,1
772,0
766,0
133,1
1125,2
1285,2
792,0
1300,2
68,1
1233,2
1215,2
797,0
613,0
515,0
869,0
165,1
1249,2
939,2
1269,2
498,0
518,0
997,2
482,0
369,1
1267,2
92,1
496,0
692,0
737,0
1114,2
847,0
620,0
524,0
925,2
